iter	RMSE
0	3.746027891
1	3.584789665
2	3.446746917
3	3.321852825
4	3.210378292
5	3.122972089
6	3.037154585
7	2.963840584
8	2.906775021
9	2.850019144
10	2.797401171
11	2.751689162
12	2.701478751
13	2.65591163
14	2.615071903
15	2.582317577
16	2.548569638
17	2.52450331
18	2.497551201
19	2.472457551
20	2.452989985
21	2.431041027
22	2.409382643
23	2.390390491
24	2.373389903
25	2.355558555
26	2.338364699
27	2.322276073
28	2.306311385
29	2.290872729
30	2.276819744
31	2.263366369
32	2.250514825
33	2.239654186
34	2.2284211
35	2.216701556
36	2.204323024
37	2.19445068
38	2.184980826
39	2.17408849
40	2.16375828
41	2.152691356
42	2.142684643
43	2.133876067
44	2.126763772
45	2.117101564
46	2.107500209
47	2.09968963
48	2.092855176
49	2.086634102
50	2.080446065
51	2.073220961
52	2.0686417
53	2.061267891
54	2.056187999
55	2.052000134
56	2.046529044
57	2.042299646
58	2.037599547
59	2.033350709
60	2.027889587
61	2.023127371
62	2.017743468
63	2.014149385
64	2.010222237
65	2.002709013
66	1.99291118
67	1.989010594
68	1.986258477
69	1.982760278
70	1.979486018
71	1.974191878
72	1.970881955
73	1.966677568
74	1.965398303
75	1.96192443
76	1.959785119
77	1.955029061
78	1.950507477
79	1.946562789
80	1.94049204
81	1.935901213
82	1.931707788
83	1.928363241
84	1.924808162
85	1.924160101
86	1.920523281
87	1.916852251
88	1.914032179
89	1.909772575
90	1.906924613
91	1.905674201
92	1.903442681
93	1.901053061
94	1.900585495
95	1.898012463
96	1.894670112
97	1.888474687
98	1.886309621
99	1.882111206
