iter	Passed	Remaining
0	2	238
1	4	227
2	6	223
3	9	220
4	11	213
5	13	212
6	15	209
7	18	211
8	20	212
9	23	210
10	25	208
11	27	204
12	29	200
13	32	197
14	34	196
15	37	194
16	39	192
17	41	189
18	44	187
19	46	186
20	48	183
21	51	182
22	53	179
23	55	176
24	57	173
25	60	171
26	62	170
27	65	169
28	68	166
29	70	164
30	73	162
31	75	160
32	77	158
33	80	155
34	82	153
35	84	150
36	87	148
37	89	146
38	91	143
39	94	141
40	96	139
41	99	137
42	102	135
43	104	133
44	107	131
45	109	128
46	112	126
47	114	123
48	116	121
49	119	119
50	121	117
51	124	114
52	127	112
53	129	110
54	131	107
55	134	105
56	136	103
57	139	100
58	141	98
59	144	96
60	147	94
61	149	91
62	152	89
63	154	87
64	157	84
65	160	82
66	162	80
67	165	77
68	167	75
69	170	73
70	172	70
71	175	68
72	178	65
73	180	63
74	182	60
75	185	58
76	187	56
77	190	53
78	192	51
79	195	48
80	197	46
81	199	43
82	202	41
83	204	38
84	207	36
85	209	34
86	212	31
87	214	29
88	217	26
89	219	24
90	222	21
91	224	19
92	226	17
93	229	14
94	230	12
95	233	9
96	235	7
97	238	4
98	240	2
99	242	0
