iter	RMSE
0	3.833162048
1	3.750453135
2	3.664296641
3	3.585991671
4	3.513923265
5	3.447373412
6	3.38234814
7	3.31885367
8	3.269294949
9	3.217306034
10	3.169078024
11	3.118483721
12	3.072952149
13	3.032676217
14	2.994312862
15	2.961945164
16	2.92873694
17	2.896643606
18	2.86490946
19	2.832972237
20	2.8029466
21	2.775768033
22	2.750374761
23	2.724987705
24	2.704266222
25	2.679115789
26	2.65652998
27	2.637168442
28	2.616662287
29	2.599245484
30	2.583990917
31	2.568714013
32	2.552909613
33	2.539097544
34	2.523713061
35	2.50890133
36	2.495380295
37	2.482656578
38	2.469231859
39	2.458097711
40	2.448050217
41	2.435715994
42	2.425149223
43	2.415280009
44	2.405462669
45	2.394769137
46	2.384593998
47	2.375209513
48	2.366680711
49	2.359394407
50	2.351580173
51	2.343541979
52	2.335343098
53	2.326169767
54	2.319482908
55	2.311438471
56	2.305381893
57	2.2970287
58	2.289682292
59	2.281570372
60	2.274012759
61	2.266836917
62	2.259889812
63	2.252665718
64	2.245703093
65	2.239596405
66	2.233735179
67	2.227878453
68	2.221688882
69	2.215119161
70	2.209491228
71	2.204343384
72	2.198561568
73	2.192885177
74	2.18693108
75	2.182619207
76	2.177078558
77	2.171703543
78	2.166216856
79	2.159820248
80	2.155405107
81	2.150973597
82	2.147052502
83	2.143333439
84	2.139167498
85	2.135337624
86	2.131640948
87	2.127292921
88	2.123391086
89	2.120110369
90	2.115318295
91	2.111935199
92	2.107730652
93	2.104624419
94	2.101366184
95	2.09786991
96	2.093558896
97	2.090280789
98	2.084610623
99	2.08150762
100	2.077550963
101	2.073083599
102	2.069356521
103	2.0654186
104	2.062641219
105	2.059907418
106	2.055625701
107	2.05288804
108	2.04973898
109	2.046236493
110	2.04288499
111	2.040421057
112	2.037098615
113	2.036462494
114	2.034049229
115	2.031438423
116	2.029264848
117	2.027861885
118	2.024340803
119	2.020932882
120	2.018392499
121	2.016082827
122	2.013860867
123	2.010963937
124	2.008964101
125	2.006132892
126	2.001286401
127	1.997462826
128	1.994875075
129	1.993018182
130	1.991187878
131	1.98927919
132	1.985224649
133	1.983666433
134	1.980942339
135	1.978498511
136	1.975642307
137	1.973695571
138	1.970747231
139	1.96729412
140	1.965316609
141	1.962588083
142	1.960275114
143	1.958016613
144	1.955897093
145	1.954889884
146	1.95322366
147	1.950748581
148	1.948902147
149	1.947561141
150	1.945931094
151	1.943364229
152	1.941413535
153	1.939987514
154	1.937946142
155	1.936100759
156	1.934447458
157	1.933223727
158	1.930302412
159	1.928419064
160	1.927084685
161	1.925793119
162	1.925432059
163	1.924011597
164	1.922091999
165	1.920097391
166	1.91722405
167	1.914834945
168	1.913812953
169	1.913502609
170	1.913193796
171	1.910612973
172	1.909530042
173	1.909256145
174	1.908967373
175	1.907394626
176	1.906105916
177	1.905000569
178	1.90472978
179	1.904475908
180	1.903360023
181	1.900395566
182	1.898533147
183	1.897309735
184	1.895026867
185	1.893735229
186	1.891010445
187	1.890791321
188	1.890586954
189	1.888332683
190	1.885942535
191	1.883595439
192	1.883398838
193	1.882868765
194	1.882688493
195	1.882214266
196	1.880902104
197	1.880714993
198	1.879319282
199	1.878141174
200	1.877972214
201	1.877770942
202	1.876827737
203	1.874560915
204	1.874392652
205	1.874186341
206	1.872990924
207	1.870264661
208	1.870108455
209	1.869554286
210	1.86941575
211	1.867911629
212	1.867033706
213	1.866226787
214	1.866065278
215	1.864340373
216	1.86417357
217	1.862981889
218	1.860037787
219	1.85715525
220	1.856964038
221	1.854330607
222	1.85202945
223	1.851917802
224	1.849410249
225	1.846330035
226	1.846187288
227	1.844854704
228	1.843801331
229	1.841967841
230	1.840575822
231	1.838228411
232	1.83799272
233	1.837881057
234	1.837779668
235	1.834860226
236	1.834741978
237	1.83200675
238	1.830897199
239	1.830599453
240	1.829075331
241	1.827879071
242	1.8269032
243	1.825668924
244	1.824273221
245	1.823910449
246	1.822214717
247	1.819299528
248	1.817144162
249	1.817035084
250	1.81503251
251	1.81495041
252	1.814626263
253	1.813708871
254	1.812859131
255	1.812011319
256	1.810829153
257	1.809680192
258	1.80773151
259	1.80592415
260	1.803406817
261	1.802577169
262	1.801540281
263	1.800755241
264	1.799700801
265	1.79620957
266	1.796121623
267	1.795836693
268	1.795140674
269	1.794090469
270	1.79187779
271	1.790717339
272	1.790479055
273	1.789770464
274	1.787685819
275	1.786267665
276	1.786133202
277	1.785150618
278	1.783454649
279	1.782375756
280	1.782293527
281	1.781140203
282	1.780036063
283	1.777683071
284	1.775640537
285	1.773863632
286	1.771621043
287	1.771076185
288	1.770744983
289	1.769097622
290	1.767325868
291	1.766369492
292	1.766288637
293	1.76535728
294	1.763013699
295	1.762950374
296	1.762805837
297	1.761919691
298	1.761630911
299	1.761012177
300	1.760941034
301	1.759253259
302	1.759121945
303	1.757124585
304	1.755507844
305	1.754834082
306	1.754261346
307	1.752090011
308	1.751013823
309	1.750889492
310	1.750151647
311	1.750111855
312	1.749572823
313	1.747590622
314	1.746820113
315	1.744988553
316	1.74391735
317	1.743085117
318	1.741048861
319	1.739725328
320	1.73841642
321	1.737417565
322	1.736568583
323	1.734733436
324	1.734263361
325	1.733810239
326	1.732960112
327	1.730468573
328	1.729190299
329	1.728469912
330	1.727621034
331	1.726737283
332	1.725277185
333	1.724114663
334	1.722762983
335	1.72184939
336	1.720351432
337	1.720252376
338	1.717267827
339	1.716935174
340	1.714881935
341	1.712776617
342	1.71115706
343	1.708465234
344	1.707867679
345	1.705321848
346	1.704172511
347	1.703879568
348	1.702898026
349	1.701001301
350	1.700273807
351	1.698964081
352	1.696820898
353	1.695305678
354	1.694589968
355	1.693083102
356	1.692421507
357	1.69215364
358	1.691217129
359	1.68954948
360	1.687343759
361	1.686798784
362	1.685896587
363	1.684302453
364	1.682902108
365	1.682517468
366	1.681024167
367	1.679413763
368	1.678520574
369	1.677168186
370	1.675670395
371	1.674729837
372	1.674124483
373	1.673109195
374	1.67249079
375	1.671128168
376	1.669700141
377	1.668922499
378	1.666346053
379	1.665348592
380	1.664797637
381	1.66352095
382	1.66183771
383	1.661115721
384	1.660580632
385	1.659173599
386	1.658380791
387	1.658208661
388	1.657012541
389	1.656229313
390	1.654883656
391	1.653991079
392	1.65344027
393	1.65224603
394	1.650566617
395	1.649222338
396	1.647207494
