iter	Passed	Remaining
0	146	146014
1	154	76855
2	160	53187
3	168	41852
4	175	35021
5	181	30140
6	188	26716
7	195	24182
8	202	22267
9	208	20641
10	215	19357
11	222	18359
12	228	17379
13	236	16658
14	241	15875
15	247	15233
16	252	14621
17	258	14124
18	263	13599
19	269	13188
20	276	12882
21	286	12740
22	292	12425
23	296	12048
24	300	11719
25	304	11408
26	308	11117
27	312	10840
28	315	10563
29	318	10311
30	324	10129
31	327	9907
32	332	9731
33	335	9545
34	339	9371
35	343	9192
36	348	9058
37	353	8938
38	356	8779
39	360	8646
40	365	8546
41	369	8438
42	376	8373
43	383	8325
44	388	8235
45	393	8167
46	398	8075
47	402	7981
48	408	7918
49	412	7832
50	416	7746
51	419	7654
52	424	7582
53	427	7493
54	431	7409
55	434	7320
56	439	7263
57	442	7187
58	445	7109
59	448	7030
60	452	6958
61	456	6903
62	459	6833
63	462	6764
64	465	6698
65	470	6654
66	473	6593
67	476	6529
68	479	6466
69	482	6405
70	486	6359
71	489	6306
72	492	6248
73	494	6189
74	497	6135
75	501	6102
76	505	6053
77	507	6002
78	510	5952
79	513	5904
80	516	5858
81	519	5818
82	522	5776
83	525	5731
84	528	5689
85	531	5649
86	535	5617
87	538	5576
88	541	5539
89	544	5503
90	547	5470
91	551	5442
92	554	5405
93	556	5367
94	560	5335
95	562	5300
96	566	5273
97	569	5241
98	572	5209
99	575	5177
100	577	5143
101	581	5119
102	584	5088
103	587	5062
104	591	5041
105	594	5012
106	597	4990
107	600	4963
108	604	4942
109	607	4914
110	610	4888
111	613	4866
112	617	4844
113	620	4818
114	622	4794
115	625	4767
116	628	4743
117	632	4724
118	635	4705
119	638	4685
120	642	4666
121	646	4650
122	649	4633
123	652	4610
124	655	4587
125	658	4566
126	661	4550
127	666	4537
128	669	4519
129	672	4498
130	674	4477
131	678	4464
132	682	4448
133	686	4433
134	689	4416
135	693	4403
136	697	4393
137	701	4382
138	704	4365
139	707	4346
140	712	4341
141	716	4329
142	719	4314
143	723	4300
144	727	4289
145	730	4274
146	734	4260
147	736	4242
148	740	4230
149	760	4311
150	767	4316
151	774	4319
152	780	4321
153	785	4313
154	790	4308
155	796	4307
156	800	4296
157	803	4281
158	808	4276
159	812	4264
160	815	4249
161	818	4231
162	821	4217
163	825	4208
164	829	4199
165	832	4183
166	836	4173
167	841	4169
168	845	4157
169	848	4144
170	852	4130
171	856	4124
172	859	4108
173	861	4089
174	864	4076
175	868	4065
176	872	4056
177	875	4044
178	878	4030
179	881	4014
180	884	4002
181	889	3996
182	892	3986
183	896	3974
184	899	3962
185	904	3957
186	907	3946
187	910	3931
188	912	3917
189	916	3905
190	920	3898
191	923	3887
192	926	3874
193	929	3863
194	931	3847
195	936	3839
196	939	3829
197	942	3816
198	945	3803
199	948	3792
200	951	3782
201	954	3771
202	957	3758
203	960	3746
204	962	3734
205	967	3727
206	970	3719
207	973	3708
208	975	3693
209	978	3682
210	981	3670
211	985	3661
212	987	3650
213	990	3638
214	993	3626
215	997	3619
216	1000	3610
217	1003	3600
218	1006	3589
219	1010	3581
220	1013	3573
221	1017	3565
222	1020	3556
223	1023	3545
224	1026	3534
225	1030	3528
226	1033	3519
227	1036	3510
228	1039	3500
229	1042	3491
230	1047	3486
231	1051	3479
232	1053	3469
233	1056	3459
234	1060	3451
235	1064	3444
236	1067	3436
237	1070	3428
238	1074	3421
239	1078	3413
240	1081	3404
241	1084	3396
242	1087	3389
243	1092	3384
244	1096	3380
245	1099	3371
246	1103	3363
247	1107	3357
248	1111	3352
249	1114	3344
250	1118	3336
251	1120	3325
252	1123	3316
253	1127	3312
254	1130	3303
255	1133	3295
256	1136	3286
257	1141	3282
258	1144	3275
259	1147	3266
260	1150	3257
261	1153	3248
262	1157	3244
263	1161	3237
264	1164	3229
265	1167	3221
266	1169	3211
267	1174	3207
268	1177	3199
269	1180	3192
270	1183	3183
271	1186	3176
272	1201	3199
273	1208	3202
274	1214	3200
275	1218	3195
276	1224	3195
277	1229	3191
278	1232	3185
279	1237	3182
280	1241	3175
281	1244	3168
282	1247	3161
283	1251	3155
284	1255	3150
285	1259	3143
286	1262	3135
287	1265	3128
288	1269	3123
289	1273	3117
290	1277	3111
291	1280	3103
292	1284	3098
293	1288	3093
294	1291	3086
